condition,prompt_id,beta_ratio,layers,target,answer,correct,semantic_drift,attention_entropy,answer_tokens,repeat_frac,coherence_proxy
baseline,p031,1.0,all,Pavel-031 DN-5947,"Pavel-031, DN-5947",1,0.42733901739120483,0.3088944898918271,4,0.25,1.0
baseline,p032,1.0,all,Jules-032 CY-2064,"Jules-032, CY-2064",1,0.3780817985534668,0.3153094006702304,4,0.25,1.0
baseline,p033,1.0,all,Quinn-033 BR-7116,"Quinn-033, BR-7116",1,0.35478413105010986,0.3105576103553176,4,0.25,1.0
baseline,p034,1.0,all,Nolan-034 CY-5878,Nolan-034,0,0.4570484757423401,0.3078682515770197,2,0.5,1.0
baseline,p035,1.0,all,Kira-035 DN-3287,"Kira-035, DN-3287",1,0.35720938444137573,0.3089274000376463,4,0.25,1.0
baseline,p036,1.0,all,Quinn-036 DN-5427,"Quinn-036
DN-5427",1,0.39452940225601196,0.311591824516654,4,0.25,1.0
baseline,p037,1.0,all,Ada-037 AX-7966,Ada-037,0,0.5487685203552246,0.3137186672538519,2,0.5,1.0
baseline,p038,1.0,all,Rhea-038 AX-3058,"Rhea-038
AX-3058",1,0.4393884539604187,0.3105852585285902,4,0.25,1.0
baseline,p039,1.0,all,Tara-039 AX-9806,"Tara-039, AX-9806",1,0.3538992404937744,0.31284444965422153,4,0.25,1.0
baseline,p040,1.0,all,Nolan-040 CY-4732,"Nolan-040, CY-4732",1,0.3546487092971802,0.31268497090786695,4,0.25,1.0
baseline,p041,1.0,all,Greta-041 BR-4781,Greta-041,0,0.4610635042190552,0.3122639572247863,2,0.5,1.0
baseline,p042,1.0,all,Ada-042 BR-7805,Ada-042,0,0.5544954240322113,0.31306585390120745,2,0.5,1.0
baseline,p043,1.0,all,Mira-043 CY-8248,"Mira-043, CY-8248",1,0.36777639389038086,0.31430886313319206,4,0.25,1.0
baseline,p044,1.0,all,Basil-044 BR-7106,Basil-044,0,0.48547685146331787,0.31190621480345726,2,0.5,1.0
baseline,p045,1.0,all,Basil-045 BR-2029,"Basil-045, BR-2029",1,0.3651476502418518,0.3146747210994363,4,0.25,1.0
baseline,p046,1.0,all,Opal-046 CY-8044,Opal-046,0,0.44080090522766113,0.3097598096355796,2,0.5,1.0
baseline,p047,1.0,all,Felix-047 DN-2060,"Felix-047
DN-2060",1,0.3960227966308594,0.31202880572527647,4,0.25,1.0
baseline,p048,1.0,all,Hugo-048 DN-8551,"Hugo-048, DN-8551",1,0.336498498916626,0.3129104431718588,4,0.25,1.0
baseline,p049,1.0,all,Elena-049 EV-4084,"Elena-049, EV-4084",1,0.3710566759109497,0.3081279927864671,4,0.25,1.0
baseline,p050,1.0,all,Luca-050 CY-4815,"Luca-050, CY-4815",1,0.37391549348831177,0.31389033515006304,4,0.25,1.0
baseline,p051,1.0,all,Kira-051 AX-4341,"Kira-051, AX-4341",1,0.35559988021850586,0.3119400041177869,4,0.25,1.0
baseline,p052,1.0,all,Nolan-052 DN-3532,"Nolan-052, DN-3532",1,0.3628808259963989,0.3160525569692254,4,0.25,1.0
baseline,p053,1.0,all,Luca-053 DN-7635,"Luca-053, DN-7635",1,0.40537214279174805,0.3079698784276843,4,0.25,1.0
baseline,p054,1.0,all,Elena-054 AX-7075,"Elena-054, AX-7075",1,0.40204864740371704,0.3074472565203905,4,0.25,1.0
baseline,p055,1.0,all,Pavel-055 AX-7355,"Pavel-055, AX-7355",1,0.4163714051246643,0.3110584141686559,4,0.25,1.0
baseline,p056,1.0,all,Hugo-056 AX-1624,Hugo-056 AX-1624,1,0.3867455720901489,0.313838429749012,4,0.25,1.0
baseline,p057,1.0,all,Ada-057 DN-8623,Ada-057,0,0.573929637670517,0.30983917880803347,2,0.5,1.0
baseline,p058,1.0,all,Quinn-058 AX-3134,"Quinn-058
AX-3134",1,0.40905117988586426,0.3104666881263256,4,0.25,1.0
baseline,p059,1.0,all,Hugo-059 CY-5132,"Hugo-059, CY-5132",1,0.3531036376953125,0.31258142460137606,4,0.25,1.0
baseline,p060,1.0,all,Mira-060 CY-6371,"Mira-060, CY-6371",1,0.38685154914855957,0.31521861627697945,4,0.25,1.0
baseline,p061,1.0,all,Elena-061 CY-2333,Elena-061,0,0.46470797061920166,0.3137580640614033,2,0.5,1.0
baseline,p062,1.0,all,Quinn-062 AX-3163,"Quinn-062
AX-3163",1,0.3997209072113037,0.31294460501521826,4,0.25,1.0
baseline,p063,1.0,all,Luca-063 DN-3598,"Luca-063
DN-3598",1,0.41558992862701416,0.31066936906427145,4,0.25,1.0
baseline,p064,1.0,all,Silas-064 EV-9480,"Silas-064, EV-9480",1,0.326265811920166,0.31114984303712845,4,0.25,1.0
baseline,p065,1.0,all,Rhea-065 BR-7769,"Rhea-065
BR-7769",1,0.41814494132995605,0.31096833292394876,4,0.25,1.0
baseline,p066,1.0,all,Hugo-066 CY-4805,"Hugo-066, CY-4805",1,0.3900582194328308,0.31586509943008423,4,0.25,1.0
baseline,p067,1.0,all,Hugo-067 BR-6355,"Hugo-067, BR-6355",1,0.3782827854156494,0.3091520117595792,4,0.25,1.0
baseline,p068,1.0,all,Silas-068 EV-3810,"Silas-068, EV-3810",1,0.3419554829597473,0.3147529298439622,4,0.25,1.0
baseline,p069,1.0,all,Basil-069 EV-6954,Basil-069,0,0.48008644580841064,0.31391504779458046,2,0.5,1.0
baseline,p070,1.0,all,Dante-070 CY-6228,"Dante-070
CY-6228",1,0.415347695350647,0.32134877517819405,4,0.25,1.0
baseline,p071,1.0,all,Nolan-071 AX-6681,Nolan-071,0,0.463980495929718,0.315959214232862,2,0.5,1.0
baseline,p072,1.0,all,Pavel-072 DN-6688,Pavel-072,0,0.48655253648757935,0.30673034489154816,2,0.5,1.0
baseline,p073,1.0,all,Mira-073 DN-1412,"Mira-073, DN-1412",1,0.3930479884147644,0.30677720345556736,4,0.25,1.0
baseline,p074,1.0,all,Opal-074 CY-3777,Opal-074,0,0.43763941526412964,0.3108676839619875,2,0.5,1.0
baseline,p075,1.0,all,Kira-075 EV-6711,Kira-075,0,0.49370789527893066,0.31318625435233116,2,0.5,1.0
baseline,p076,1.0,all,Iris-076 AX-2750,"Iris-076
AX-2750",1,0.3741052746772766,0.3103304272517562,4,0.25,1.0
baseline,p077,1.0,all,Mira-077 BR-8045,"Mira-077, BR-8045",1,0.39042502641677856,0.310710983350873,4,0.25,1.0
baseline,p078,1.0,all,Nolan-078 DN-1322,"Nolan-078
DN-1322",1,0.41994404792785645,0.3095116941258311,4,0.25,1.0
baseline,p079,1.0,all,Silas-079 EV-4358,Silas-079,0,0.3940579295158386,0.314217871055007,2,0.5,1.0
baseline,p080,1.0,all,Mira-080 AX-2231,"Mira-080, AX-2231",1,0.38737189769744873,0.30812733620405197,4,0.25,1.0
baseline,p081,1.0,all,Cora-081 DN-4702,"Cora-081
DN-4702",1,0.37985461950302124,0.31314973067492247,4,0.25,1.0
baseline,p082,1.0,all,Ada-082 CY-5013,"Ada-082
CY-5013",1,0.4943932890892029,0.31385231763124466,4,0.25,1.0
baseline,p083,1.0,all,Luca-083 AX-1188,"Luca-083
AX-1188",1,0.4518406391143799,0.3074272833764553,4,0.25,1.0
baseline,p084,1.0,all,Tara-084 EV-5866,Tara-084,0,0.4425618052482605,0.3118972573429346,2,0.5,1.0
baseline,p085,1.0,all,Opal-085 DN-5039,Opal-085,0,0.4449911117553711,0.3133485419675708,2,0.5,1.0
baseline,p086,1.0,all,Luca-086 AX-1751,Luca-086,0,0.4870753288269043,0.30983366817235947,2,0.5,1.0
baseline,p087,1.0,all,Quinn-087 BR-5655,"Quinn-087, BR-5655",1,0.3364877700805664,0.3158384198322892,4,0.25,1.0
baseline,p088,1.0,all,Pavel-088 CY-4150,"Pavel-088, CY-4150",1,0.4123884439468384,0.3105510715395212,4,0.25,1.0
baseline,p089,1.0,all,Pavel-089 AX-9205,"Pavel-089
AX-9205",1,0.4569845199584961,0.30756265856325626,4,0.25,1.0
baseline,p090,1.0,all,Elena-090 EV-5227,"Elena-090, EV-5227",1,0.34159302711486816,0.3177983183413744,4,0.25,1.0
baseline,p091,1.0,all,Ada-091 EV-3544,"Ada-091, EV-3544",1,0.3776317834854126,0.30826374888420105,4,0.25,1.0
baseline,p092,1.0,all,Dante-092 DN-1291,Dante-092,0,0.43731915950775146,0.31351612601429224,2,0.5,1.0
baseline,p093,1.0,all,Basil-093 EV-2305,Basil-093,0,0.4795910716056824,0.30843366496264935,2,0.5,1.0
baseline,p094,1.0,all,Felix-094 DN-7319,"Felix-094, DN-7319",1,0.347414493560791,0.3128025457262993,4,0.25,1.0
baseline,p095,1.0,all,Mira-095 BR-8393,Mira-095,0,0.49328935146331787,0.3199356133118272,2,0.5,1.0
baseline,p096,1.0,all,Cora-096 EV-8942,"Cora-096
EV-8942",1,0.3855188488960266,0.3074547750875354,4,0.25,1.0
baseline,p097,1.0,all,Cora-097 DN-9536,"Cora-097
DN-9536",1,0.37834620475769043,0.30951400846242905,4,0.25,1.0
baseline,p098,1.0,all,Basil-098 CY-2738,Basil-098,0,0.5008366703987122,0.31427551433444023,2,0.5,1.0
baseline,p099,1.0,all,Iris-099 AX-8321,"Iris-099, AX-8321",1,0.32462453842163086,0.3101529758423567,4,0.25,1.0
layer_0,p000,0.35,0,Kira-000 DN-1791,Kira-000,0,0.4706699848175049,0.33746984228491783,2,0.5,1.0
layer_0,p001,0.35,0,Silas-001 BR-2013,"Silas-001, BR-2013",1,0.32174134254455566,0.33855488523840904,4,0.25,1.0
layer_0,p002,0.35,0,Rhea-002 EV-1976,"Rhea-002, EV-1976",1,0.3481588363647461,0.333149635232985,4,0.25,1.0
layer_0,p003,0.35,0,Kira-003 CY-2199,"Kira-003, CY-2199",1,0.35935282707214355,0.34169220365583897,4,0.25,1.0
layer_0,p004,0.35,0,Cora-004 DN-2064,"Cora-004, DN-2064",1,0.34598225355148315,0.33723386842757463,4,0.25,1.0
layer_0,p005,0.35,0,Jules-005 BR-7519,"Jules-005, BR-7519",1,0.3637723922729492,0.3402943015098572,4,0.25,1.0
layer_0,p006,0.35,0,Cora-006 BR-4800,"Cora-006, BR-4800",1,0.37774866819381714,0.3313872264698148,4,0.25,1.0
layer_0,p007,0.35,0,Rhea-007 DN-7536,Rhea-007,0,0.4275212287902832,0.3405781136825681,2,0.5,1.0
layer_0,p008,0.35,0,Silas-008 EV-2662,Silas-008,0,0.379988431930542,0.3350578313693404,2,0.5,1.0
layer_0,p009,0.35,0,Pavel-009 AX-3361,"Pavel-009, AX-3361",1,0.4137541651725769,0.33410579431802034,4,0.25,1.0
layer_0,p010,0.35,0,Felix-010 BR-9725,"Felix-010, BR-9725",1,0.3507472276687622,0.3363919388502836,4,0.25,1.0
layer_0,p011,0.35,0,Tara-011 DN-6726,"Tara-011, DN-6726",1,0.36641961336135864,0.3331381808966398,4,0.25,1.0
layer_0,p012,0.35,0,Dante-012 BR-8832,"Dante-012, BR-8832",1,0.3739832639694214,0.3363103726878762,4,0.25,1.0
layer_0,p013,0.35,0,Elena-013 EV-8771,Elena-013,0,0.44301432371139526,0.33390245866030455,2,0.5,1.0
layer_0,p014,0.35,0,Hugo-014 CY-5249,"Hugo-014, CY-5249",1,0.3244631290435791,0.3424269361421466,4,0.25,1.0
layer_0,p015,0.35,0,Pavel-015 AX-2011,Pavel-015,0,0.5139522552490234,0.3372238390147686,2,0.5,1.0
layer_0,p016,0.35,0,Quinn-016 EV-4267,Quinn-016,0,0.38875699043273926,0.33298695646226406,2,0.5,1.0
layer_0,p017,0.35,0,Hugo-017 AX-4484,"Hugo-017, AX-4484",1,0.3372024893760681,0.3383679324761033,4,0.25,1.0
layer_0,p018,0.35,0,Nolan-018 DN-6556,"Nolan-018, DN-6556",1,0.3434944152832031,0.33583215344697237,4,0.25,1.0
layer_0,p019,0.35,0,Cora-019 BR-2716,"Cora-019, BR-2716",1,0.3524567484855652,0.34237415343523026,4,0.25,1.0
layer_0,p020,0.35,0,Basil-020 DN-2186,Basil-020,0,0.47130775451660156,0.33872340340167284,2,0.5,1.0
layer_0,p021,0.35,0,Elena-021 EV-4906,"Elena-021, EV-4906",1,0.3803187608718872,0.33763042744249105,4,0.25,1.0
layer_0,p022,0.35,0,Ada-022 AX-1251,"Ada-022, AX-1251",1,0.3905852437019348,0.3357985122129321,4,0.25,1.0
layer_0,p023,0.35,0,Elena-023 CY-1891,"Elena-023, CY-1891",1,0.3663550615310669,0.33875167835503817,4,0.25,1.0
layer_0,p024,0.35,0,Felix-024 DN-1059,"Felix-024, DN-1059",1,0.33334779739379883,0.3361457847058773,4,0.25,1.0
layer_0,p025,0.35,0,Iris-025 BR-5066,"Iris-025, BR-5066",1,0.33160698413848877,0.33805482648313046,4,0.25,1.0
layer_0,p026,0.35,0,Tara-026 CY-9096,"Tara-026, CY-9096",1,0.3787584900856018,0.33647620771080256,4,0.25,1.0
layer_0,p027,0.35,0,Opal-027 AX-1308,"Opal-027, AX-1308",1,0.3219987154006958,0.3405756214633584,4,0.25,1.0
layer_0,p028,0.35,0,Opal-028 DN-2257,Opal-028,0,0.4357743263244629,0.3404045766219497,2,0.5,1.0
layer_0,p029,0.35,0,Dante-029 DN-5765,Dante-029,0,0.3849024772644043,0.34454095270484686,2,0.5,1.0
layer_0,p030,0.35,0,Mira-030 BR-2222,Mira-030,0,0.45050203800201416,0.33658789191395044,2,0.5,1.0
layer_0,p031,0.35,0,Pavel-031 DN-5947,"Pavel-031, DN-5947",1,0.43119025230407715,0.3326827483251691,4,0.25,1.0
layer_0,p032,0.35,0,Jules-032 CY-2064,"Jules-032, CY-2064",1,0.3427373766899109,0.33923936635255814,4,0.25,1.0
layer_0,p033,0.35,0,Quinn-033 BR-7116,"Quinn-033, BR-7116",1,0.3425065279006958,0.3370310477912426,4,0.25,1.0
layer_0,p034,0.35,0,Nolan-034 CY-5878,"Nolan-034, CY-5878",1,0.3372006416320801,0.3340149922296405,4,0.25,1.0
layer_0,p035,0.35,0,Kira-035 DN-3287,Kira-035,0,0.4521404504776001,0.3337706299498677,2,0.5,1.0
layer_0,p036,0.35,0,Quinn-036 DN-5427,"Quinn-036, DN-5427",1,0.33058226108551025,0.3354613119736314,4,0.25,1.0
layer_0,p037,0.35,0,Ada-037 AX-7966,AX-7966,0,0.4066535234451294,0.3395895464345813,2,0.5,1.0
layer_0,p038,0.35,0,Rhea-038 AX-3058,Rhea-038,0,0.4351867437362671,0.33557370863854885,2,0.5,1.0
layer_0,p039,0.35,0,Tara-039 AX-9806,"Tara-039, AX-9806",1,0.36864417791366577,0.33820672426372766,4,0.25,1.0
layer_0,p040,0.35,0,Nolan-040 CY-4732,"Nolan-040, CY-4732",1,0.328704833984375,0.33730064053088427,4,0.25,1.0
layer_0,p041,0.35,0,Greta-041 BR-4781,"Greta-041, BR-4781",1,0.34275466203689575,0.3389834715053439,4,0.25,1.0
layer_0,p042,0.35,0,Ada-042 BR-7805,Ada-042,0,0.5340635776519775,0.33842858299613,2,0.5,1.0
layer_0,p043,0.35,0,Mira-043 CY-8248,"Mira-043, CY-8248",1,0.3645423650741577,0.3401413280516863,4,0.25,1.0
layer_0,p044,0.35,0,Basil-044 BR-7106,"Basil-044, BR-7106",1,0.4068910479545593,0.33636959083378315,4,0.25,1.0
layer_0,p045,0.35,0,Basil-045 BR-2029,"Basil-045, BR-2029",1,0.3588332533836365,0.3362528122961521,4,0.25,1.0
layer_0,p046,0.35,0,Opal-046 CY-8044,Opal-046,0,0.43373167514801025,0.33433276414871216,2,0.5,1.0
layer_0,p047,0.35,0,Felix-047 DN-2060,Felix-047,0,0.41968685388565063,0.33878902066498995,2,0.5,1.0
layer_0,p048,0.35,0,Hugo-048 DN-8551,"Hugo-048, DN-8551",1,0.3200833797454834,0.3377688229084015,4,0.25,1.0
layer_0,p049,0.35,0,Elena-049 EV-4084,"Elena-049, EV-4084",1,0.36483800411224365,0.33249090425670147,4,0.25,1.0
layer_0,p050,0.35,0,Luca-050 CY-4815,Luca-050,0,0.44614630937576294,0.3385828444734216,2,0.5,1.0
layer_0,p051,0.35,0,Kira-051 AX-4341,"Kira-051, AX-4341",1,0.34695661067962646,0.3382803611457348,4,0.25,1.0
layer_0,p052,0.35,0,Nolan-052 DN-3532,"Nolan-052, DN-3532",1,0.3576279878616333,0.3406138140708208,4,0.25,1.0
layer_0,p053,0.35,0,Luca-053 DN-7635,"Luca-053, DN-7635",1,0.3650297522544861,0.3343938747420907,4,0.25,1.0
layer_0,p054,0.35,0,Elena-054 AX-7075,Elena-054,0,0.45483827590942383,0.3313993262127042,2,0.5,1.0
layer_0,p055,0.35,0,Pavel-055 AX-7355,"Pavel-055, AX-7355",1,0.38612306118011475,0.3372026104480028,4,0.25,1.0
layer_0,p056,0.35,0,Hugo-056 AX-1624,Hugo-056,0,0.4255918264389038,0.33950670063495636,2,0.5,1.0
layer_0,p057,0.35,0,Ada-057 DN-8623,Ada-057,0,0.5586524605751038,0.33611034229397774,2,0.5,1.0
layer_0,p058,0.35,0,Quinn-058 AX-3134,Quinn-058,0,0.4125661849975586,0.33473416417837143,2,0.5,1.0
layer_0,p059,0.35,0,Hugo-059 CY-5132,"Hugo-059, CY-5132",1,0.33257120847702026,0.3367866687476635,4,0.25,1.0
layer_0,p060,0.35,0,Mira-060 CY-6371,"Mira-060, CY-6371",1,0.37107038497924805,0.34073755145072937,4,0.25,1.0
layer_0,p061,0.35,0,Elena-061 CY-2333,"Elena-061, CY-2333",1,0.37036770582199097,0.3380707697942853,4,0.25,1.0
layer_0,p062,0.35,0,Quinn-062 AX-3163,Quinn-062,0,0.4023979902267456,0.33855751622468233,2,0.5,1.0
layer_0,p063,0.35,0,Luca-063 DN-3598,Luca-063,0,0.4514601230621338,0.3351712040603161,2,0.5,1.0
layer_0,p064,0.35,0,Silas-064 EV-9480,"Silas-064, EV-9480",1,0.3062325716018677,0.3376059867441654,4,0.25,1.0
layer_0,p065,0.35,0,Rhea-065 BR-7769,"Rhea-065, BR-7769",1,0.34367215633392334,0.33821949176490307,4,0.25,1.0
layer_0,p066,0.35,0,Hugo-066 CY-4805,"Hugo-066, CY-4805",1,0.36566364765167236,0.33960616402328014,4,0.25,1.0
layer_0,p067,0.35,0,Hugo-067 BR-6355,"Hugo-067, BR-6355",1,0.3585890531539917,0.3346360279247165,4,0.25,1.0
layer_0,p068,0.35,0,Silas-068 EV-3810,"Silas-068, EV-3810",1,0.3218613266944885,0.3380799973383546,4,0.25,1.0
layer_0,p069,0.35,0,Basil-069 EV-6954,Basil-069,0,0.45707929134368896,0.3392243152484298,2,0.5,1.0
layer_0,p070,0.35,0,Dante-070 CY-6228,Dante-070,0,0.3992670774459839,0.34489237796515226,2,0.5,1.0
layer_0,p071,0.35,0,Nolan-071 AX-6681,Nolan-071,0,0.4312151074409485,0.34259474091231823,2,0.5,1.0
layer_0,p072,0.35,0,Pavel-072 DN-6688,"Pavel-072, DN-6688",1,0.39133328199386597,0.3312440514564514,4,0.25,1.0
layer_0,p073,0.35,0,Mira-073 DN-1412,"Mira-073, DN-1412",1,0.39222216606140137,0.3298983573913574,4,0.25,1.0
layer_0,p074,0.35,0,Opal-074 CY-3777,Opal-074,0,0.4335920214653015,0.3350825123488903,2,0.5,1.0
layer_0,p075,0.35,0,Kira-075 EV-6711,Kira-075,0,0.4738768935203552,0.33692161086946726,2,0.5,1.0
layer_0,p076,0.35,0,Iris-076 AX-2750,"Iris-076, AX-2750",1,0.323275625705719,0.3358969986438751,4,0.25,1.0
layer_0,p077,0.35,0,Mira-077 BR-8045,"Mira-077, BR-8045",1,0.3941726088523865,0.3369539799168706,4,0.25,1.0
layer_0,p078,0.35,0,Nolan-078 DN-1322,"Nolan-078, DN-1322",1,0.3580033779144287,0.33403401635587215,4,0.25,1.0
layer_0,p079,0.35,0,Silas-079 EV-4358,"Silas-079, EV-4358",1,0.3077796697616577,0.33862484246492386,4,0.25,1.0
layer_0,p080,0.35,0,Mira-080 AX-2231,"Mira-080, AX-2231",1,0.3587988615036011,0.331334357149899,4,0.25,1.0
layer_0,p081,0.35,0,Cora-081 DN-4702,"Cora-081, DN-4702",1,0.3472198247909546,0.3370821224525571,4,0.25,1.0
layer_0,p082,0.35,0,Ada-082 CY-5013,"Ada-082, CY-5013",1,0.41498762369155884,0.3387104067951441,4,0.25,1.0
layer_0,p083,0.35,0,Luca-083 AX-1188,Luca-083,0,0.4557676911354065,0.33259456418454647,2,0.5,1.0
layer_0,p084,0.35,0,Tara-084 EV-5866,Tara-084,0,0.4142005443572998,0.3362993970513344,2,0.5,1.0
layer_0,p085,0.35,0,Opal-085 DN-5039,Opal-085,0,0.4353019595146179,0.33746557123959064,2,0.5,1.0
layer_0,p086,0.35,0,Luca-086 AX-1751,Luca-086,0,0.4562686085700989,0.33381740748882294,2,0.5,1.0
layer_0,p087,0.35,0,Quinn-087 BR-5655,"Quinn-087, BR-5655",1,0.33722078800201416,0.338795343413949,4,0.25,1.0
layer_0,p088,0.35,0,Pavel-088 CY-4150,"Pavel-088, CY-4150",1,0.4155522584915161,0.33415722381323576,4,0.25,1.0
layer_0,p089,0.35,0,Pavel-089 AX-9205,Pavel-089,0,0.5232332646846771,0.334244666621089,2,0.5,1.0
layer_0,p090,0.35,0,Elena-090 EV-5227,"Elena-090, EV-5227",1,0.32784903049468994,0.3440490374341607,4,0.25,1.0
layer_0,p091,0.35,0,Ada-091 EV-3544,"Ada-091, EV-3544",1,0.36382508277893066,0.3349916283041239,4,0.25,1.0
layer_0,p092,0.35,0,Dante-092 DN-1291,Dante-092,0,0.39296984672546387,0.3391474597156048,2,0.5,1.0
layer_0,p093,0.35,0,Basil-093 EV-2305,Basil-093,0,0.4552673101425171,0.3334624841809273,2,0.5,1.0
layer_0,p094,0.35,0,Felix-094 DN-7319,"Felix-094, DN-7319",1,0.34459441900253296,0.33647553995251656,4,0.25,1.0
layer_0,p095,0.35,0,Mira-095 BR-8393,"Mira-095, BR-8393",1,0.3721439838409424,0.3425230588763952,4,0.25,1.0
layer_0,p096,0.35,0,Cora-096 EV-8942,"Cora-096, EV-8942",1,0.33223187923431396,0.3336253259330988,4,0.25,1.0
layer_0,p097,0.35,0,Cora-097 DN-9536,"Cora-097, DN-9536",1,0.32824796438217163,0.33416539430618286,4,0.25,1.0
layer_0,p098,0.35,0,Basil-098 CY-2738,"Basil-098, CY-2738",1,0.35572701692581177,0.33749134466052055,4,0.25,1.0
layer_0,p099,0.35,0,Iris-099 AX-8321,"Iris-099, AX-8321",1,0.34255725145339966,0.33462113980203867,4,0.25,1.0
layer_1,p000,0.35,1,Kira-000 DN-1791,Kira-000 hid the copper lantern under code DN-1791.,1,0.202134370803833,0.3501643817871809,10,0.1,1.0
layer_1,p001,0.35,1,Silas-001 BR-2013,"The blue compass was hidden under the code BR-2013.

Explanation: The blue compass was hidden under the code BR",0,0.10663622617721558,0.3566672233864665,20,0.2,1.0
layer_1,p002,0.35,1,Rhea-002 EV-1976,"The blue compass under code was EV-1976.

Explanation: The blue compass under code is EV-1976.",0,0.1493169665336609,0.35470269061625004,17,0.11764705882352941,1.0
layer_1,p003,0.35,1,Kira-003 CY-2199,"The person hid the violet kite, and the code is CY-2199.",0,0.13614529371261597,0.36066429130733013,12,0.25,1.0
layer_1,p004,0.35,1,Cora-004 DN-2064,The code is DN-2064.,0,0.22385740280151367,0.3542795814573765,5,0.2,1.0
layer_1,p005,0.35,1,Jules-005 BR-7519,"The person's identifier is Jules-005.
The code is BR-7519.",1,0.1771540641784668,0.3575736368075013,12,0.16666666666666666,1.0
